MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct ,Lat,Lng
MDMC2061016,RES,Closed,,18,18,07/14/2022,07/30/2022 12:00:00 AM,08/29/2022,08/29/2022,"$1,625,000","$1,625,000","$1,600,000",5109,,River Hill,,Bethesda,MD,20816,MONTGOMERYMD,,,,GLEN ECHO HEIGHTS,Donnell L Kearney,88867,Compass,COMPS1,(202) 386-6330,Gary J Boylan,3250218,Compass,COMPS4,(202) 448-9002,,Conventional,StandardSale,StandardSale,StandardSale,12447,2021,0.16,R,FeeSimple,No,No,No,,,,1964,3007,,5,2,2,Three,Colonial,"Lower1,Main,Upper1",,Yes,,Yes,"DryerInUnit,HasLaundry,WasherInUnit",,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,2272,735,,,,38.955974,-77.12767
VAFX2073426,RES,Closed,,13,13,06/09/2022,06/21/2022 12:00:00 AM,07/15/2022,07/15/2022,"$1,175,000","$1,175,000","$1,175,000",1937,,Foxhall,,Mclean,VA,22101,FAIRFAXVA,,,,FOXHALL,Eric P Stewart,3054992,"Long & Foster Real Estate, Inc.",LNG83,(703) 790-1990,Baya Frantz,3274697,"Weichert, REALTORS",WEI58,(703) 549-8700,,Cash,StandardSale,StandardSale,StandardSale,11190,2022,0.24,011,FeeSimple,No,No,No,,,,1964,2302,Excellent,4,2,1,Five,SplitLevel,"Lower1,Main,Upper1,Upper2,Upper3",,Yes,1,Yes,,,,Yes,No,No,WYNDAM 7,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,1816,486,Excellent,,,38.911617,-77.17984
MDMC2031686,RES,Closed,,1,1,01/20/2022,01/20/2022 12:00:00 AM,05/27/2022,05/27/2022,"$2,695,000","$2,695,000","$2,750,000",7516,,Granada,,Bethesda,MD,20817,MONTGOMERYMD,,,,LANDON WOODS,Avi Galanti,3019667,Compass,COMPS9,(301) 304-8444,Cara Pearlman,109048,Compass,COMPS2,(301) 298-1001,,Conventional,StandardSale,StandardSale,StandardSale,9821,2021,0.22,,FeeSimple,No,No,No,,,,2021,6049,Excellent,6,6,1,Three,Contemporary,"Lower1,Main,Upper1",,Yes,2,Yes,UpprFlrLndry,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,4276,1773,Excellent,,,38.9871357,-77.1233024
MDMC2036150,RES,Closed,,14,14,04/27/2022,05/10/2022 12:00:00 AM,06/15/2022,06/15/2022,"$1,085,000","$1,085,000","$1,025,000",5115,,Wissioming Rd,,Bethesda,MD,20816,MONTGOMERYMD,,,,GLEN ECHO HEIGHTS,Bryan Kerrigan,3031903,Redfin Corp,REFC2,(301) 658-6186,Christopher Polhemus,3019999,"Long & Foster Real Estate, Inc.",LNG191,(202) 299-0424,,Conventional,StandardSale,StandardSale,StandardSale,8879,2022,0.14,,FeeSimple,No,No,No,,,,1939,2061,Excellent,3,3,,Three,Bungalow,"Lower1,Main,Upper1",2,Yes,,No,"DryerInUnit,HasLaundry,LowFlrLndry,WasherInUnit",,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2,2,,BRIGHT,1621,440,Excellent,,,38.958786,-77.128128
VAFX2080148,RES,Closed,,14,14,06/28/2022,07/11/2022 12:00:00 AM,09/01/2022,08/31/2022,"$960,000","$960,000","$920,000",1713,,Fairview,,Mclean,VA,22101,FAIRFAXVA,,,,DIVINES CHESTERBROOK,Donald W Weaver,17188,RE/MAX Allegiance,RMAX34,(703) 237-9500,Tony O Yeh,46809,"United Realty, Inc.",URI1,(703) 204-1188,,BuildersTerms,StandardSale,StandardSale,StandardSale,11165,2022,0.38,,FeeSimple,No,No,No,,,,1958,1403,,4,3,,Two,Rancher,"Lower1,Main",,Yes,1,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2,,,BRIGHT,1403,,,,,38.9214627,-77.1588715
VAFX2013278,RES,Closed,,77,77,08/20/2021,12/13/2021 12:00:00 AM,06/29/2022,06/24/2022,"$2,380,000","$2,439,000","$2,510,000",6228,,Cottonwood,,Mclean,VA,22101,FAIRFAXVA,,,,NONE AVAILABLE,Parvin I Moradi,3282906,Samson Properties,SAMP14,(703) 378-8810,Sean Lee Price,3292032,"EXP Realty, LLC",EXXPR1,(833) 335-7433,,Cash,StandardSale,StandardSale,StandardSale,7485,2021,0.5,011,FeeSimple,No,No,No,,,,2022,8300,Excellent,7,6,2,Three,Transitional,"Lower1,Main,Upper1",,Yes,3,,UpprFlrLndry,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,5820,2480,Excellent,,,38.9263078,-77.1512466
MDMC2051888,RES,Closed,,17,17,06/16/2022,07/02/2022 12:00:00 AM,07/23/2022,07/22/2022,"$1,225,000","$1,150,000","$1,150,000",6009,,Corbin,,Bethesda,MD,20816,MONTGOMERYMD,,,,WOODACRES,Mary C McGuinness,86527,"Weichert, REALTORS",WEI4,(202) 326-1300,Kimberly A Cestari,131944,"Long & Foster Real Estate, Inc.",LNG338,(202) 966-1400,,Conventional,StandardSale,StandardSale,StandardSale,10012,2022,0.18,R,FeeSimple,No,No,No,,,,1953,2300,Excellent,3,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,Yes,"BsmtLaundry,LowFlrLndry",,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,1800,500,Excellent,,80,38.971027,-77.122535
MDMC2040010,RES,Closed,,8,8,03/04/2022,03/11/2022 12:00:00 AM,04/08/2022,04/08/2022,"$749,900","$749,900","$800,000",6705,,Buttermere,,Bethesda,MD,20817,MONTGOMERYMD,,,,STRATTON WOODS,Eva G Vasco,107387,Realty Advantage,FXR6,(301) 881-9800,Adam Gelb,3023569,"Long & Foster Real Estate, Inc.",LNG194,(240) 497-1700,,Cash,StandardSale,StandardSale,StandardSale,8546,2021,0.22,R,FeeSimple,No,No,No,,,,1962,2182,MajorRehabNeeded,4,4,,Five,SplitLevel,"Lower1,Lower2,Main,Upper1,Upper2",,Yes,,Yes,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,3,,BRIGHT,1852,330,MajorRehabNeeded,,,39.0186038,-77.1407301
MDMC2050234,RES,Closed,,7,7,05/12/2022,05/17/2022 12:00:00 AM,06/17/2022,06/15/2022,"$1,499,000","$1,499,000","$1,600,000",11720,,Le Havre,,Potomac,MD,20854,MONTGOMERYMD,,,,LAKE NORMANDY ESTATES,Douglas G Kayhoe,10110,Douglas Realty LLC,DOGR9,(866) 987-3937,Mynor R Herrera,137327,Keller Williams Capital Properties,KWCP2,(240) 383-1350,,Conventional,,,,11349,2021,0.44,R,FeeSimple,No,No,No,,,,1983,4657,VeryGood,5,4,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,UpprFlrLndry,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,3557,1100,VeryGood,,60,39.045685,-77.188889
VAFX2057726,RES,Closed,,1,1,04/13/2022,04/13/2022 12:00:00 AM,05/27/2022,05/27/2022,"$1,299,000","$1,299,000","$1,550,000",1814,,Saint Boniface,,Vienna,VA,22182,FAIRFAXVA,,,,HAWTHORNE ESTATES,Kevin L Kleifges,87497,Compass,COMPS5,(703) 310-6111,Brittany Lambrechts Camacho,3016930,Century 21 Redwood Realty,RDWG2,(703) 528-8195,,Conventional,StandardSale,StandardSale,StandardSale,11306,2021,0.26,011,FeeSimple,No,No,Yes,Annually,300,Annually,1982,4002,,4,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,2750,1252,,,,38.9210609,-77.2722264
VAFX2066510,RES,Closed,,0,0,05/05/2022,03/01/2022 12:00:00 AM,05/05/2022,04/29/2022,"$1,210,000","$1,210,000","$1,210,000",1800,,Brooktrail,,Vienna,VA,22182,FAIRFAXVA,,,,BROOKSIDE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Alasgar Farhadov,110048,Compass,COMPS6,(703) 266-7277,,IncomeQualifiedCreditCheck,StandardSale,StandardSale,StandardSale,15712,2021,0.95,011,FeeSimple,No,No,No,,,,1986,3722,,5,4,1,Two,Colonial,Main,,No,2,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,,,BRIGHT,3722,0,,,,38.9269518,-77.280147
