MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct ,Lat,Lng
MDMC2071202,RES,Closed,,0,0,09/30/2022,05/06/2022 12:00:00 AM,09/30/2022,09/28/2022,"$1,530,000","$1,530,000","$1,530,000",12545,,Ansin Circle,,Potomac,MD,20854,MONTGOMERYMD,,,,WHEEL OF FORTUNE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Jacqueline G Band-Olinger,3015586,"Greystone Realty, LLC.",GREY1,(301) 244-4705,,Cash,StandardSale,StandardSale,StandardSale,14725,2022,0.05,R,FeeSimple,No,No,Yes,Monthly,260.93,Monthly,2009,3301,,4,3,1,Four,Federal,"Lower1,Main,Upper1,Upper2",,No,2,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,2626,675,,,,39.0598837,-77.1587152
MDMC2065512,RES,Closed,,0,0,09/27/2022,08/25/2022 12:00:00 AM,09/27/2022,09/21/2022,"$850,000","$850,000","$850,000",10707,,Drumm,,Kensington,MD,20895,MONTGOMERYMD,,,,KENSINGTON HEIGHTS,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Steven Leikus,3115321,"Advance Realty Direct, Inc.",AVNR8,(410) 288-6700,,Conventional,StandardSale,StandardSale,StandardSale,7392,2021,0.21,R,FeeSimple,No,No,No,,,,1988,2160,,4,3,,Three,Colonial,"Lower1,Main,Upper1",1,Yes,2,Yes,HasLaundry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,3,,BRIGHT,2160,0,,,,39.0292979,-77.0667577
MDMC2069990,RES,Closed,,1,1,09/21/2022,09/21/2022 12:00:00 AM,09/21/2022,09/21/2022,"$1,855,555","$1,855,555","$1,855,555",9526,,Wildoak,,Bethesda,MD,20814,MONTGOMERYMD,,,,WYNGATE,Joseph Bernstein,3013150,"Long & Foster Real Estate, Inc.",LNG194,(240) 497-1700,James (Kevin) Grolig,2758,Compass,COMPS17,(240) 219-2422,,Conventional,StandardSale,StandardSale,StandardSale,4234,2022,0.15,R,FeeSimple,No,No,Yes,Monthly,50,Monthly,2022,0,Excellent,5,4,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,,,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,0,0,Excellent,,,39.0121079,-77.109807
MDMC2069418,RES,Closed,,0,0,09/16/2022,09/14/2022 12:00:00 AM,09/16/2022,09/14/2022,"$1,384,880","$1,384,880","$1,384,880",3932,,Cranes Bill,,Rockville,MD,20852,MONTGOMERYMD,,,,TOWER OAKS,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Stacey M Kuzma,3052349,RLAH @properties,RLAH6,(301) 652-0643,,Conventional,StandardSale,StandardSale,StandardSale,5000,2022,0,,FeeSimple,No,No,Yes,Monthly,220,Monthly,2022,3800,Excellent,0,0,1,Four,Colonial,Main,,Yes,2,,,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,2,0,,BRIGHT,3800,,Excellent,,,39.062936,-77.1482613
MDMC2068986,RES,Closed,,5,5,09/15/2022,09/19/2022 12:00:00 AM,09/30/2022,09/30/2022,"$395,000","$395,000","$395,000",4004,,Heathfield,,Rockville,MD,20853,MONTGOMERYMD,,,,ENGLISH MANOR,Larry Franklin,3052510,"RE/MAX Realty Centre, Inc.",RRC2,(301) 591-3920,Bryan D Low,3002603,RE/MAX Realty Services,RBE3,(240) 403-0400,,Cash,StandardSale,StandardSale,StandardSale,4543,2022,0.23,R,FeeSimple,No,No,No,,,,1958,1466,,3,1,1,Two,SplitFoyer,"Lower1,Main",,Yes,,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,1166,300,,,,39.0858113,-77.0828066
MDMC2068888,RES,Closed,,0,0,09/12/2022,08/19/2022 12:00:00 AM,09/12/2022,09/09/2022,"$1,035,000","$1,035,000","$1,035,000",9601,,Page,,Bethesda,MD,20814,MONTGOMERYMD,,,,PAGE HILL,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Avi Galanti,3019667,Compass,COMPS9,(301) 304-8444,"$25,000",Conventional,StandardSale,StandardSale,StandardSale,3641.01,2002,0.21,,FeeSimple,No,No,No,,,,1951,2082,,4,2,1,Three,CapeCod,"Lower1,Main,Upper1",,Yes,1,Yes,BsmtLaundry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,2082,,,,,38.984652,-77.0947092
MDMC2068816,RES,Closed,,7,39,09/11/2022,09/17/2022 12:00:00 AM,09/27/2022,09/27/2022,"$560,000","$560,000","$570,000",13636,,Hobart,,Silver Spring,MD,20904,MONTGOMERYMD,,,,LANDFARE,Stella M Bonilla,1428,"Smart Realty, LLC",CMAR1,(301) 445-1395,Tammy Barrientos,3333071,CENTURY 21 New Millennium,CENT2033,(301) 519-8100,,Conventional,StandardSale,StandardSale,StandardSale,4935,2022,0.25,,FeeSimple,No,No,No,,,,1981,2078,,4,3,,Two,Rancher,"Lower1,Main",,Yes,1,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,1188,890,,,,39.0792041,-76.9841751
MDMC2068650,RES,Closed,,1,1,09/09/2022,09/09/2022 12:00:00 AM,09/09/2022,09/09/2022,"$685,000","$685,000","$685,000",10004,,Edward,,Bethesda,MD,20814,MONTGOMERYMD,,,,NORTH BETHESDA GROVE,Joseph Bernstein,3013150,"Long & Foster Real Estate, Inc.",LNG194,(240) 497-1700,Joseph Bernstein,3013150,"Long & Foster Real Estate, Inc.",LNG194,(240) 497-1700,,Cash,StandardSale,StandardSale,StandardSale,6760,2021,0.12,R,FeeSimple,No,No,No,,,,1953,850,,2,1,,Two,Bungalow,Main,,Yes,,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,0,0,,BRIGHT,850,0,,,,39.0201274,-77.1126966
MDMC2067890,RES,Closed,,0,0,09/08/2022,07/31/2022 12:00:00 AM,09/08/2022,08/30/2022,"$487,500","$487,500","$487,500",11309,,Commonwealth,103,North Bethesda,MD,20852,MONTGOMERYMD,,,,GEORGETOWN VILLAGE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Ricardo J Rozada,73488,Century 21 Redwood Realty,RDWG2,(703) 528-8195,,Conventional,StandardSale,StandardSale,StandardSale,4455,2019,,011,Condominium,No,Yes,No,,,,1979,1473,,3,2,,One,CondoUnit,Main,1,No,,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,6000,0.01,,BRIGHT,1473,0,,,,39.0424877,-77.119214
MDMC2068232,RES,Closed,,2,2,09/15/2022,09/15/2022 12:00:00 AM,09/30/2022,09/30/2022,"$550,000","$550,000","$575,000",3409,,Nimitz,,Kensington,MD,20895,MONTGOMERYMD,,,,NORTH KENSINGTON,Nicole Rhoads,3296578,"EXP Realty, LLC",EXXPR1,(833) 335-7433,Matthew D Maury,3960,"Stuart & Maury, Inc.",STU1,(301) 654-3200,,Cash,StandardSale,StandardSale,StandardSale,5334,2022,0.11,R,FeeSimple,No,No,No,,,,1947,1512,,4,2,,Three,CapeCod,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,0,,BRIGHT,1008,504,,,,39.0359601,-77.0715321
