MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct ,Lat,Lng
DCDC2069452,RES,Closed,,0,0,09/29/2022,05/28/2022 12:00:00 AM,09/29/2022,06/16/2022,"$1,330,000","$1,330,000","$1,330,000",2107,,Huidekoper,,Washington,DC,20007,WASHINGTONDC,,,,GLOVER PARK,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Ellen Klein,3022398,Compass,COMPS2,(301) 298-1001,,Conventional,StandardSale,StandardSale,StandardSale,8386,2021,0.04,0,FeeSimple,No,No,No,,,,1936,1941,,3,3,,Three,Traditional,"Lower1,Main,Upper1",,Yes,1,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,1403,538,,,,38.9195837,-77.0748429
DCDC2069310,RES,Closed,,0,0,09/29/2022,07/23/2022 12:00:00 AM,09/29/2022,08/23/2022,"$899,900","$899,900","$899,900",810,,O,201,Washington,DC,20001,WASHINGTONDC,,,,SHAW,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Ann A Duff,18466,"McEnearney Associates, Inc.",MCE1,(703) 549-9292,"$20,000",Conventional,StandardSale,StandardSale,StandardSale,8125,2021,,,Condominium,No,Yes,No,,,,2020,1182,,2,2,,One,Contemporary,Main,2,No,1,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,0,,BRIGHT,1182,,,,,38.9085786,-77.0061599
DCDC2069024,RES,Closed,,0,0,09/28/2022,07/13/2022 12:00:00 AM,09/28/2022,08/08/2022,"$1,200,000","$1,200,000","$1,200,000",2853,,Ontario,122,Washington,DC,20009,WASHINGTONDC,,,,ADAMS MORGAN,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Susan Van Nostrand,5760,Compass,COMPS2,(301) 298-1001,,Cash,StandardSale,StandardSale,StandardSale,883.87,1997,,,Cooperative,No,Yes,No,,,,1905,1567,,2,1,0,One,BeauxArts,"Lower1,Lower2,Main,Upper1,Upper2",1,No,,Yes,Common,,,No,No,No,LARGE 2BR FEELS LIKE HOUSE,StandardSale,StandardSale,StandardSale,2.75,2.75,,BRIGHT,1567,,,,,38.9071923,-77.0368707
DCDC2069050,RES,Closed,,0,0,09/27/2022,08/01/2022 12:00:00 AM,09/27/2022,09/27/2022,"$775,000","$775,000","$775,000",1680,,Oak,18,Washington,DC,20010,WASHINGTONDC,,,,MOUNT PLEASANT,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Nicholas E Africano,3117381,Compass,COMPS7,(703) 229-8935,,Conventional,StandardSale,StandardSale,StandardSale,4586,2021,,0,Condominium,No,Yes,No,,,,1982,1683,,3,2,1,Three,Contemporary,"Main,Upper1,Upper2",1,No,,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,0,,BRIGHT,1683,0,,,,38.9071923,-77.0368707
DCDC2068882,RES,Closed,,1,1,09/27/2022,09/27/2022 12:00:00 AM,09/28/2022,09/28/2022,"$2,000,000","$2,000,000","$2,000,000",3706,,Military,,Washington,DC,20015,WASHINGTONDC,,,,CHEVY CHASE,Randolph Adams,3100075,"McWilliams/Ballard, Inc.",MCWB3,(202) 280-2396,Randolph Adams,3100075,"McWilliams/Ballard, Inc.",MCWB3,(202) 280-2396,,Other,StandardSale,StandardSale,StandardSale,3244,2021,0.1,0,FeeSimple,No,No,No,,,,1912,4000,Excellent,5,5,1,Three,Other,"Lower1,Main,Upper1,Upper2",,Yes,2,Yes,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,3000,1000,Excellent,100,100,38.9059849,-77.03341790000002
MDMC2070462,RES,Closed,,1,1,09/24/2022,09/24/2022 12:00:00 AM,09/24/2022,09/24/2022,"$1,499,900","$1,499,900","$1,521,400",8551,,Connecticut,605,Chevy Chase,MD,20815,MONTGOMERYMD,,,,CHEVY CHASE,AJINDER Jennie Mann,3022215,McWilliams/Ballard Inc.,MCWB1,(703) 535-5550,David R Getson,91104,Compass,COMPS1,(202) 386-6330,$,Cash,StandardSale,StandardSale,StandardSale,0,2022,,,Condominium,No,Yes,No,,,,2022,1496,Excellent,2,2,1,One,Contemporary,Main,6,No,2,,"DryerInUnit,WasherInUnit",,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,3,0,,BRIGHT,1496,0,Excellent,,,38.9905551,-77.0772289
DCDC2068544,RES,Closed,,1,1,09/23/2022,09/23/2022 12:00:00 AM,09/23/2022,09/23/2022,"$765,000","$765,000","$765,000",400,,Massachusetts,916,Washington,DC,20001,WASHINGTONDC,,,,CENTRAL,David M Wagner,3022399,"RE/MAX Realty Centre, Inc.",RRC1,(301) 774-5900,Joseph Himali,58084,RLAH @properties,RLAH5,(703) 718-4450,$500,Cash,StandardSale,StandardSale,StandardSale,6236,2021,,0,Condominium,No,Yes,No,,,,2004,1369,,2,2,0,Two,"Contemporary,Loft","Main,Upper1",9,No,2,No,,,,Yes,No,No,2-STORY LOFT,StandardSale,StandardSale,StandardSale,3,0,,BRIGHT,1369,0,,,,38.919045,-77.0600797
MDMC2070336,RES,Closed,,0,0,09/23/2022,06/17/2022 12:00:00 AM,09/23/2022,08/29/2022,"$575,000","$575,000","$545,000",2500,,Spencer,,Silver Spring,MD,20910,MONTGOMERYMD,,,,NONE AVAILABLE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Nicola C Taylor,3001398,Compass,COMPS2,(301) 298-1001,,Conventional,StandardSale,StandardSale,StandardSale,2284.64,1998,0.22,,FeeSimple,No,No,No,,,,1956,2500,,5,2,1,Two,Rancher,"Lower1,Main",,Yes,,No,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,2500,,,,,38.99066570000001,-77.026088
VAAR2022924,RES,Closed,,0,0,09/22/2022,08/27/2022 12:00:00 AM,09/22/2022,09/16/2022,"$425,000","$425,000","$422,000",1600,N,Oak,1023,Arlington,VA,22209,ARLINGTONVA,,,,BELVEDERE CONDOMINIUM,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Michael S Webb,17544,RE/MAX Allegiance,RMAX127,(703) 824-4800,,Cash,StandardSale,StandardSale,StandardSale,4280,2022,,009,Condominium,No,Yes,No,,,,1987,800,,1,1,,One,Contemporary,Main,10,No,1,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,800,0,,,,38.8927734,-77.07367099999999
MDPG2057536,RES,Closed,,0,0,09/20/2022,08/10/2022 12:00:00 AM,09/20/2022,09/19/2022,"$565,000","$565,000","$565,000",3501,,Varnum,,Brentwood,MD,20722,PRINCEGEORGESMD,,,,BRENTWOOD,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Katri I Hunter,3053628,Compass,COMPS1,(202) 386-6330,"$18,500",Conventional,StandardSale,StandardSale,StandardSale,5878,2022,0.34,R,FeeSimple,No,No,No,,,,1900,1582,,3,2,,Three,FarmhouseNationalFolk,Main,,Yes,,,,,,No,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,1582,0,,,,38.9445035,-76.9603856
