MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct ,Lat,Lng
VAAR2023108,RES,Closed,,0,0,09/27/2022,08/27/2022 12:00:00 AM,09/27/2022,09/19/2022,"$750,000","$750,000","$730,000",2450,S,Walter Reed,1,Arlington,VA,22206,ARLINGTONVA,,,,WINDGATE I,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Samuel Wardle,3065292,Compass,COMPS1,(202) 386-6330,,VA,StandardSale,StandardSale,StandardSale,6706,2022,,014,Condominium,No,Yes,No,,,,1979,2352,Average,3,2,2,Two,Colonial,"Lower1,Main,Upper1",,Yes,,,,,,No,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,1568,784,Average,,,38.8463936,-77.10035409999999
VAAX2017870,RES,Closed,,0,0,09/26/2022,08/28/2022 12:00:00 AM,09/26/2022,09/26/2022,"$220,000","$220,000","$220,000",6290,,Edsall,302,Alexandria,VA,22312,ALEXANDRIACITYVA,,,,EDSALL TERRACE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Tasha Nelson,3051309,Coldwell Banker Realty,CBRB63,(703) 763-1950,,Conventional,StandardSale,StandardSale,StandardSale,3091,2022,,,Condominium,No,Yes,No,,,,1974,1240,,2,2,,One,CondoUnit,Main,3,No,,No,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,3,,,BRIGHT,1240,0,,,,38.8075209,-77.1367819
VAAR2021942,RES,Closed,,2,74,09/19/2022,09/20/2022 12:00:00 AM,09/23/2022,09/23/2022,"$575,000","$575,000","$555,000",3468,S,Stafford,B2,Arlington,VA,22206,ARLINGTONVA,,,,FAIRLINGTON MEADOWS,Christopher J Weathers,3029783,TTR Sotheby's International Realty,TTRS8,(703) 745-1212,Alan Chargin,3296436,Keller Williams Capital Properties,KWCP1,(202) 243-7700,,Conventional,StandardSale,StandardSale,StandardSale,3213,2022,,,Condominium,No,Yes,No,,,,1940,1286,Excellent,2,2,,Two,Colonial,"Main,Upper1",2,No,,No,"DryerInUnit,HasLaundry,WasherInUnit",,7,Yes,No,No,Expanded Braddock,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,1286,0,Excellent,,,38.8315424,-77.08691189999999
VAFX2094982,RES,Closed,,1,1,09/16/2022,09/16/2022 12:00:00 AM,09/16/2022,09/16/2022,"$650,000","$650,000","$645,000",7114,,Wayne,,Annandale,VA,22003,FAIRFAXVA,,,,BROYHILL CREST,Nathan Arnold,3292314,"EXP Realty, LLC",EXXPR1,(833) 335-7433,Sara Doxtator,3317685,"RE/MAX Gateway, LLC",RMAX110,(703) 652-5760,,Conventional,StandardSale,StandardSale,StandardSale,6345,2022,0.25,011,FeeSimple,No,No,No,,,,1953,1040,,4,2,,Two,Rancher,"Main,Upper1",,Yes,,Yes,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,1040,0,,,,38.8447091,-77.1949066
VAAX2017352,RES,Closed,,0,0,09/13/2022,08/23/2022 12:00:00 AM,09/13/2022,09/08/2022,"$500,000","$500,000","$500,000",1746,,Preston,,Alexandria,VA,22302,ALEXANDRIACITYVA,,,,PARKFAIRFAX,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Nicole Rhoads,3296578,"EXP Realty, LLC",EXXPR1,(833) 335-7433,,Cash,StandardSale,StandardSale,StandardSale,3696,2019,,014,Condominium,No,Yes,No,,,,1941,930,Excellent,2,1,,Two,Colonial,"Main,Upper2",,No,,No,UpprFlrLndry,,5,No,No,No,,StandardSale,StandardSale,StandardSale,2,,,BRIGHT,930,0,Excellent,,,38.8048355,-77.0469214
VAFX2094352,RES,Closed,,3,3,09/12/2022,09/14/2022 12:00:00 AM,09/30/2022,09/30/2022,"$230,000","$230,000","$225,000",3374,,Woodburn,34,Annandale,VA,22003,FAIRFAXVA,,,,WOODBURN VILLAGE,Hilda Vidaurre,78155,Fairfax Realty Select,FXR1,(703) 533-8660,Katherine Louise Koerner,3292878,"Long & Foster Real Estate, Inc.",LNG84,(703) 522-0500,,Cash,StandardSale,StandardSale,StandardSale,2427,2021,,041,Condominium,No,Yes,No,,,,1969,869,,2,1,,Three,Other,Main,3,No,,No,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2,,,BRIGHT,869,0,,,,38.847913,-77.234352
VAFX2092964,RES,Closed,,4,4,09/10/2022,09/13/2022 12:00:00 AM,09/30/2022,09/30/2022,"$199,999","$199,999","$215,500",5605,,Franconia,9-201,Alexandria,VA,22310,FAIRFAXVA,,,,BURBERRY COURT,Joan Stansfield,3000752,Keller Williams Realty,KWR21,(703) 636-7300,Nizar Baaguig,3222592,"Spring Hill Real Estate, LLC.",SHIL1,(703) 891-4520,,Cash,StandardSale,StandardSale,StandardSale,1831,2022,,041,Condominium,No,Yes,No,,,,1964,679,,1,1,,One,Traditional,Main,1,No,,,"DryerInUnit,WasherInUnit",,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,679,0,,,,38.7908986,-77.1064515
VAFX2093490,RES,Closed,,5,5,09/15/2022,09/19/2022 12:00:00 AM,09/29/2022,09/29/2022,"$724,900","$724,900","$760,000",8416,,Stonewall,,Vienna,VA,22180,FAIRFAXVA,,,,STONEWALL MANOR,Kathleen Rebecca Nayak,3334377,Compass,COMPS5,(703) 310-6111,Michael Gorkowski,3322489,Compass,COMPS5,(703) 310-6111,,Cash,StandardSale,StandardSale,StandardSale,8372,2022,0.25,011,FeeSimple,No,No,No,,,,1963,2190,VeryGood,4,3,,Two,RaisedRanch,"Lower1,Main",,Yes,,Yes,LowFlrLndry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,,,BRIGHT,1380,810,VeryGood,,,38.889577,-77.233961
VAFX2093640,RES,Closed,,0,0,09/08/2022,08/14/2022 12:00:00 AM,09/08/2022,09/07/2022,"$720,000","$720,000","$720,000",3520,,Slade Run Drive,,Falls Church,VA,22042,FAIRFAXVA,,,,VALLEY BROOK,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Jane L Slatter,3087710,"Long & Foster Real Estate, Inc.",LNG44,(202) 483-6300,,Conventional,StandardSale,StandardSale,StandardSale,7751.65,2022,0.47,,FeeSimple,No,No,No,,,,1953,1973,,3,2,1,Three,"MidCenturyModern,Rancher","Lower1,Main,Upper1",,Yes,,Yes,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2,,,BRIGHT,1300,673,,,,38.853027,-77.18488
VAFX2093582,RES,Closed,,0,0,09/07/2022,09/09/2021 12:00:00 AM,09/07/2022,09/02/2022,"$1,084,900","$1,084,900","$1,170,265",6239,,Mcconnell,,Springfield,VA,22152,FAIRFAXVA,,,,NONE AVAILABLE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Richard E Yelich,60433,Samson Properties,SAMP1,(703) 378-8810,,Other,StandardSale,StandardSale,StandardSale,0,2022,0.12,011,FeeSimple,No,No,Yes,Quarterly,375,Quarterly,0,0,Excellent,5,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,,,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,2,,,BRIGHT,0,0,Excellent,,,38.7828049,-77.2396727
